title,author,genre,description,image
To Kill a Mockingbird,Harper Lee,Classic,A story of racial injustice and childhood in the Deep South of the United States.,https://covers.openlibrary.org/b/id/8225261-L.jpg
1984,George Orwell,Dystopian,A dystopian novel depicting a totalitarian future society under constant surveillance.,https://covers.openlibrary.org/b/id/7222246-L.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young boy discovers he is a wizard and attends Hogwarts School of Witchcraft and Wizardry.,https://covers.openlibrary.org/b/id/7984916-L.jpg
Pride and Prejudice,Jane Austen,Romance,"A classic novel exploring manners, marriage, and morality in 19th century England.",https://covers.openlibrary.org/b/id/8228781-L.jpg
The Great Gatsby,F. Scott Fitzgerald,Classic,A critique of the American Dream set in the Jazz Age of the 1920s.,https://covers.openlibrary.org/b/id/7222161-L.jpg
The Hobbit,J.R.R. Tolkien,Fantasy,A fantasy novel about a hobbit's adventurous journey through Middle-earth.,https://covers.openlibrary.org/b/id/6979861-L.jpg
The Catcher in the Rye,J.D. Salinger,Classic,A story about teenage angst and alienation.,https://covers.openlibrary.org/b/id/8231856-L.jpg
The Da Vinci Code,Dan Brown,Thriller,A symbologist unravels a conspiracy related to the Holy Grail.,https://covers.openlibrary.org/b/id/240726-L.jpg
Angels & Demons,Dan Brown,Thriller,A thriller involving secret societies and a threat to the Vatican.,https://covers.openlibrary.org/b/id/8328691-L.jpg
The Fault in Our Stars,John Green,Romance,A touching story of teenage love and loss.,https://covers.openlibrary.org/b/id/7769256-L.jpg
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-Fiction,An exploration of the history and impact of Homo sapiens on the world.,https://covers.openlibrary.org/b/id/8100921-L.jpg
Educated,Tara Westover,Non-Fiction,A memoir about a woman who grows up in a strict family and seeks education against all odds.,https://covers.openlibrary.org/b/id/8231850-L.jpg
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,A journalist and a hacker investigate a disappearance tied to dark family secrets.,https://covers.openlibrary.org/b/id/8231821-L.jpg
The Hunger Games,Suzanne Collins,Dystopian,A girl fights for survival in a televised death match in a dystopian future.,https://covers.openlibrary.org/b/id/7222241-L.jpg
Gone Girl,Gillian Flynn,Thriller,A psychological thriller about a marriage gone terribly wrong.,https://covers.openlibrary.org/b/id/8228696-L.jpg
Memoirs of a Geisha,Arthur Golden,Historical Fiction,A story of a young girl's journey to becoming a famous geisha in Japan.,https://covers.openlibrary.org/b/id/8224251-L.jpg
Moby Dick,Herman Melville,Classic,A captain obsessively hunts a giant white whale.,https://covers.openlibrary.org/b/id/8231823-L.jpg
The Alchemist,Paulo Coelho,Fiction,A shepherd's journey to find his personal legend and treasure.,https://covers.openlibrary.org/b/id/8376781-L.jpg
Frankenstein,Mary Shelley,Horror,A scientist creates a living being with unintended consequences.,https://covers.openlibrary.org/b/id/8231829-L.jpg
The Shining,Stephen King,Horror,A family trapped in a haunted hotel descends into madness.,https://covers.openlibrary.org/b/id/8231854-L.jpg
Little Women,Louisa May Alcott,Classic,The lives and struggles of four sisters during the American Civil War.,https://covers.openlibrary.org/b/id/8225634-L.jpg
Dracula,Bram Stoker,Horror,A gothic novel about the infamous vampire Count Dracula.,https://covers.openlibrary.org/b/id/8231865-L.jpg
The Road,Cormac McCarthy,Dystopian,A post-apocalyptic journey of a father and son.,https://covers.openlibrary.org/b/id/8231827-L.jpg
The Kite Runner,Khaled Hosseini,Fiction,A story of friendship and redemption in Afghanistan.,https://covers.openlibrary.org/b/id/8225264-L.jpg
The Book Thief,Markus Zusak,Historical Fiction,A young girl steals books during WWII in Nazi Germany.,https://covers.openlibrary.org/b/id/8231831-L.jpg
Brave New World,Aldous Huxley,Dystopian,A futuristic society controlled by technology and conditioning.,https://covers.openlibrary.org/b/id/7222247-L.jpg
The Chronicles of Narnia,C.S. Lewis,Fantasy,Children discover a magical world through a wardrobe.,https://covers.openlibrary.org/b/id/7984919-L.jpg
The Fault in Our Stars,John Green,Romance,Two teenagers with cancer fall in love and face life's challenges.,https://covers.openlibrary.org/b/id/7769256-L.jpg
Jane Eyre,Charlotte Brontë,Classic,An orphaned girl becomes a governess and finds love with mystery.,https://covers.openlibrary.org/b/id/8228784-L.jpg
Animal Farm,George Orwell,Dystopian,An allegorical novella about a farm revolution and totalitarianism.,https://covers.openlibrary.org/b/id/8231852-L.jpg
